Date;Household_ID;Household_Size; Income (£) ;Region;Urban_Rural;Education_Level;Marital_Status;Children;Age_Group;Occupation;Weekly_Grocery_Expenditure;Fridge_Size;Freezer_Size;Food_Preferences;Cooking_Frequency;Leftover_Frequency;Grocery_Shopping_Frequency;Grocery_Store_Type;Organic_Food_Preference;Food_Waste_Perception;Awareness_Programs;Composting_Facility;Food_Waste_Reasons;Food_Preservation_Methods;Food_Waste_Education;Cooking_Skills;Meal_Planning_Frequency;Food_Waste_Quantification;Perishable_Food_Management;Food_Donation_Frequency;Food_Waste_Reduction_Strategies;Technology_Use;Food_Waste_Reduction_Success;Food_Type;Purchase_Quantity;Waste_Quantity
26/08/2023;238;2;33,521.00;North;Rural;High School;Married;0;31-45;Employed;70;Large;Medium;Vegetarian;Weekly;Daily;Weekly;Supermarket;No;Moderate;No;Yes;Spoilage;Refrigeration;No;High;Weekly;Sometimes;Prompt Consumption;Occasionally;Smart Shopping;Moderate;Successful;Meat;16;6
27/08/2023;239;1;61,850.00;South;Rural;PhD;Single;0;31-45;Student;169;Small;Medium;Vegetarian;Rarely;Weekly;Weekly;Local;Yes;High;Yes;Yes;Spoilage;Refrigeration;Yes;High;Rarely;Regularly;Storage;Rarely;Meal Planning;Moderate;Successful;Vegetables;16;6
28/08/2023;240;1;49,974.00;South;Rural;High School;Single;0;46-60;Employed;117;Medium;Medium;Non-Vegetarian;Weekly;Weekly;Weekly;Supermarket;Yes;Low;No;Yes;Excess Purchases;Freezing;No;High;Weekly;Rarely;Storage;Occasionally;Smart Shopping;Moderate;Successful;Fruits;16;6
29/08/2023;241;2;32,715.00;East;Urban;Master;Married;0;31-45;Unemployed;265;Medium;Large;Vegetarian;Weekly;Rarely;Daily;Supermarket;No;Low;No;Yes;Spoilage;Canning;No;Moderate;Daily;Regularly;Prompt Consumption;Rarely;Meal Planning;Low;Not Successful;Seafood;16;6
30/08/2023;242;5;53,630.00;East;Urban;High School;Married;3;31-45;Student;249;Medium;Medium;Vegetarian;Daily;Daily;Daily;Local;Yes;Low;Yes;No;Excess Purchases;Refrigeration;No;High;Rarely;Rarely;Preservation;Occasionally;Meal Planning;Low;Partial;Fruits;16;6
31/08/2023;243;3;31,868.00;East;Urban;High School;Divorced;2;61;Unemployed;21;Medium;Large;Vegetarian;Daily;Daily;Daily;Supermarket;Yes;Low;Yes;No;Excess Purchases;Canning;Yes;Low;Weekly;Sometimes;Prompt Consumption;Rarely;Meal Planning;Moderate;Not Successful;Vegetables;16;2
01/09/2023;244;1;31,333.00;North;Rural;High School;Divorced;0;46-60;Student;41;Large;Large;Vegetarian;Rarely;Daily;Daily;Supermarket;No;Low;No;Yes;Portion Control;Freezing;No;Moderate;Daily;Rarely;Prompt Consumption;Rarely;Meal Planning;High;Successful;Fruits;16;3
02/09/2023;245;1;49,330.00;South;Rural;Bachelor;Single;0;46-60;Unemployed;248;Large;Large;Non-Vegetarian;Weekly;Daily;Monthly;Supermarket;Yes;High;No;Yes;Portion Control;Refrigeration;No;Moderate;Rarely;Regularly;Prompt Consumption;Regularly;Smart Shopping;Low;Partial;Fruits;16;1
03/09/2023;246;1;31,063.00;West;Urban;PhD;Divorced;0;61;Employed;68;Medium;Medium;Vegetarian;Rarely;Rarely;Monthly;Local;Yes;High;No;No;Spoilage;Freezing;No;Low;Weekly;Sometimes;Storage;Occasionally;Reduced Portions;High;Not Successful;Vegetables;16;1
04/09/2023;247;2;61,669.00;West;Rural;Master;Single;1;18-30;Student;48;Medium;Small;Vegetarian;Rarely;Weekly;Daily;Online;No;Low;No;Yes;Spoilage;Canning;No;High;Rarely;Rarely;Prompt Consumption;Regularly;Smart Shopping;High;Successful;Vegetables;16;5
05/09/2023;248;4;32,263.00;West;Rural;Bachelor;Married;2;61;Employed;115;Small;Medium;Vegetarian;Rarely;Daily;Daily;Local;No;Low;Yes;No;Spoilage;Refrigeration;No;High;Rarely;Regularly;Storage;Occasionally;Smart Shopping;Low;Partial;Meat;16;2
06/09/2023;249;2;48,429.00;North;Urban;Master;Single;1;31-45;Student;168;Medium;Small;Non-Vegetarian;Weekly;Weekly;Daily;Local;Yes;Low;Yes;No;Spoilage;Refrigeration;Yes;High;Daily;Regularly;Preservation;Occasionally;Meal Planning;High;Partial;Seafood;16;4
07/09/2023;250;2;69,185.00;West;Rural;High School;Married;0;18-30;Student;99;Medium;Small;Non-Vegetarian;Weekly;Rarely;Daily;Supermarket;No;Low;Yes;Yes;Excess Purchases;Freezing;No;Low;Daily;Rarely;Preservation;Rarely;Reduced Portions;Moderate;Not Successful;Seafood;16;2
08/09/2023;251;3;31,586.00;North;Rural;Bachelor;Married;1;31-45;Unemployed;138;Large;Small;Vegetarian;Daily;Weekly;Daily;Online;Yes;Low;No;No;Portion Control;Refrigeration;Yes;Moderate;Weekly;Regularly;Prompt Consumption;Regularly;Smart Shopping;Low;Partial;Fruits;16;6
09/09/2023;252;2;33,295.00;East;Rural;High School;Married;0;61;Employed;201;Large;Small;Non-Vegetarian;Weekly;Weekly;Daily;Local;No;High;No;Yes;Spoilage;Refrigeration;No;High;Daily;Regularly;Preservation;Occasionally;Smart Shopping;Moderate;Successful;Seafood;16;1
10/09/2023;253;4;36,790.00;West;Urban;PhD;Single;3;61;Student;295;Medium;Small;Vegetarian;Rarely;Rarely;Daily;Local;Yes;High;No;Yes;Portion Control;Canning;Yes;Moderate;Weekly;Regularly;Prompt Consumption;Rarely;Meal Planning;High;Partial;Vegetables;16;3
11/09/2023;254;3;34,622.00;East;Rural;Master;Single;2;18-30;Employed;147;Large;Small;Non-Vegetarian;Daily;Rarely;Daily;Online;No;Moderate;No;No;Portion Control;Refrigeration;Yes;Moderate;Weekly;Sometimes;Storage;Regularly;Reduced Portions;Low;Partial;Seafood;16;6
12/09/2023;255;2;35,089.00;South;Urban;Master;Married;0;31-45;Employed;275;Large;Large;Vegetarian;Rarely;Daily;Daily;Supermarket;Yes;Moderate;Yes;Yes;Spoilage;Refrigeration;No;High;Daily;Regularly;Prompt Consumption;Regularly;Smart Shopping;High;Partial;Seafood;16;6
13/09/2023;256;1;34,576.00;South;Rural;PhD;Single;0;61;Student;243;Small;Medium;Vegetarian;Daily;Rarely;Monthly;Local;No;High;Yes;No;Excess Purchases;Canning;No;Moderate;Rarely;Regularly;Prompt Consumption;Rarely;Meal Planning;Moderate;Not Successful;Fruits;16;3
14/09/2023;257;4;64,909.00;West;Urban;High School;Single;3;31-45;Student;284;Large;Large;Non-Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;High;Yes;No;Portion Control;Freezing;Yes;Moderate;Rarely;Rarely;Preservation;Rarely;Reduced Portions;High;Not Successful;Vegetables;16;6
15/09/2023;258;2;68,142.00;East;Urban;Bachelor;Married;0;31-45;Student;253;Small;Small;Vegetarian;Weekly;Daily;Daily;Online;Yes;High;No;No;Spoilage;Canning;No;Moderate;Weekly;Rarely;Preservation;Rarely;Reduced Portions;Low;Partial;Fruits;16;6
16/09/2023;259;2;48,195.00;East;Urban;Master;Single;1;46-60;Employed;84;Large;Large;Vegetarian;Daily;Daily;Daily;Supermarket;No;Moderate;Yes;Yes;Portion Control;Canning;No;Low;Rarely;Sometimes;Storage;Rarely;Smart Shopping;High;Partial;Meat;16;1
17/09/2023;260;3;41,403.00;East;Rural;High School;Single;2;31-45;Employed;54;Small;Medium;Non-Vegetarian;Rarely;Rarely;Monthly;Supermarket;Yes;Low;Yes;Yes;Portion Control;Canning;No;Low;Rarely;Rarely;Storage;Rarely;Reduced Portions;High;Not Successful;Vegetables;16;5
18/09/2023;261;3;39,097.00;West;Urban;Bachelor;Married;1;46-60;Unemployed;28;Small;Small;Vegetarian;Daily;Daily;Daily;Supermarket;No;Low;No;No;Excess Purchases;Refrigeration;No;Moderate;Daily;Regularly;Storage;Regularly;Meal Planning;High;Partial;Fruits;16;4
19/09/2023;262;5;39,320.00;West;Rural;Bachelor;Married;3;46-60;Employed;190;Medium;Small;Vegetarian;Weekly;Daily;Daily;Supermarket;Yes;Moderate;Yes;No;Portion Control;Canning;No;Moderate;Rarely;Sometimes;Preservation;Occasionally;Meal Planning;High;Partial;Seafood;16;1
20/09/2023;263;2;52,306.00;West;Urban;Master;Married;0;46-60;Employed;277;Medium;Medium;Vegetarian;Rarely;Weekly;Daily;Local;Yes;Low;No;No;Portion Control;Canning;No;Moderate;Rarely;Rarely;Prompt Consumption;Occasionally;Meal Planning;Low;Partial;Meat;16;4
21/09/2023;264;3;46,398.00;North;Urban;Bachelor;Divorced;2;61;Employed;43;Medium;Small;Vegetarian;Rarely;Rarely;Monthly;Supermarket;Yes;Low;No;No;Portion Control;Refrigeration;No;Moderate;Rarely;Regularly;Preservation;Regularly;Reduced Portions;Low;Not Successful;Fruits;16;2
22/09/2023;265;3;63,520.00;West;Rural;PhD;Married;1;18-30;Student;177;Medium;Large;Non-Vegetarian;Weekly;Daily;Daily;Online;Yes;Moderate;No;No;Excess Purchases;Refrigeration;No;Moderate;Rarely;Sometimes;Prompt Consumption;Regularly;Reduced Portions;High;Partial;Fruits;16;1
23/09/2023;266;4;43,338.00;West;Urban;High School;Single;3;61;Unemployed;43;Small;Small;Non-Vegetarian;Daily;Weekly;Daily;Supermarket;Yes;High;No;No;Spoilage;Canning;No;Low;Weekly;Regularly;Storage;Occasionally;Reduced Portions;High;Not Successful;Vegetables;16;3
24/09/2023;267;4;51,992.00;East;Urban;PhD;Married;2;46-60;Unemployed;298;Medium;Medium;Vegetarian;Weekly;Rarely;Daily;Supermarket;No;Moderate;Yes;Yes;Portion Control;Freezing;No;Low;Weekly;Rarely;Storage;Occasionally;Meal Planning;Moderate;Partial;Fruits;16;3
25/09/2023;268;4;33,830.00;South;Urban;Master;Single;3;61;Employed;45;Small;Small;Vegetarian;Weekly;Weekly;Daily;Local;No;Moderate;Yes;No;Portion Control;Freezing;No;Low;Rarely;Rarely;Prompt Consumption;Occasionally;Meal Planning;High;Successful;Vegetables;16;3
26/09/2023;269;2;55,786.00;North;Rural;PhD;Married;0;46-60;Unemployed;98;Small;Medium;Non-Vegetarian;Daily;Weekly;Daily;Supermarket;No;Moderate;Yes;No;Excess Purchases;Freezing;Yes;Moderate;Daily;Sometimes;Prompt Consumption;Regularly;Smart Shopping;Low;Partial;Vegetables;16;0
27/09/2023;270;4;51,667.00;South;Urban;High School;Single;3;61;Student;255;Small;Large;Vegetarian;Rarely;Weekly;Daily;Local;Yes;High;Yes;No;Portion Control;Refrigeration;Yes;Low;Rarely;Regularly;Storage;Occasionally;Meal Planning;Low;Not Successful;Seafood;16;3
28/09/2023;271;2;54,533.00;West;Rural;High School;Divorced;1;61;Employed;188;Small;Large;Non-Vegetarian;Daily;Weekly;Daily;Supermarket;No;Moderate;No;No;Portion Control;Canning;No;Low;Rarely;Regularly;Prompt Consumption;Regularly;Smart Shopping;High;Not Successful;Meat;16;0
29/09/2023;272;4;71,853.00;West;Rural;Bachelor;Divorced;3;46-60;Employed;209;Small;Large;Non-Vegetarian;Daily;Daily;Daily;Supermarket;No;Moderate;Yes;Yes;Portion Control;Refrigeration;Yes;Moderate;Weekly;Sometimes;Storage;Rarely;Smart Shopping;Low;Successful;Vegetables;16;6
30/09/2023;273;2;55,277.00;South;Rural;Master;Single;1;46-60;Employed;89;Medium;Large;Vegetarian;Rarely;Weekly;Daily;Local;Yes;Moderate;Yes;Yes;Spoilage;Canning;Yes;High;Rarely;Rarely;Preservation;Regularly;Reduced Portions;Low;Successful;Seafood;16;0
01/10/2023;274;2;67,840.00;East;Urban;Master;Married;0;46-60;Employed;94;Small;Small;Vegetarian;Daily;Rarely;Daily;Local;No;Low;No;No;Spoilage;Refrigeration;No;Low;Weekly;Sometimes;Preservation;Regularly;Smart Shopping;Low;Successful;Vegetables;16;6
02/10/2023;275;4;56,947.00;West;Rural;Master;Single;3;18-30;Student;112;Large;Small;Vegetarian;Rarely;Rarely;Daily;Supermarket;Yes;Low;Yes;No;Portion Control;Freezing;No;Moderate;Daily;Rarely;Prompt Consumption;Regularly;Meal Planning;Low;Successful;Vegetables;16;6
03/10/2023;276;3;41,002.00;South;Rural;Master;Married;1;46-60;Unemployed;109;Small;Large;Non-Vegetarian;Daily;Daily;Daily;Local;No;High;Yes;No;Portion Control;Freezing;Yes;High;Rarely;Sometimes;Storage;Regularly;Smart Shopping;Low;Successful;Vegetables;16;3
04/10/2023;277;4;53,200.00;West;Urban;Bachelor;Single;3;31-45;Employed;65;Medium;Large;Vegetarian;Rarely;Rarely;Daily;Online;No;Moderate;Yes;No;Portion Control;Canning;Yes;Moderate;Rarely;Regularly;Storage;Rarely;Reduced Portions;Low;Successful;Meat;16;6
05/10/2023;278;4;47,995.00;North;Rural;Bachelor;Single;3;31-45;Unemployed;264;Large;Medium;Vegetarian;Weekly;Weekly;Daily;Supermarket;Yes;High;No;Yes;Portion Control;Freezing;No;Low;Weekly;Regularly;Preservation;Rarely;Reduced Portions;Moderate;Not Successful;Fruits;16;4
06/10/2023;279;2;27,967.00;North;Urban;High School;Divorced;1;46-60;Employed;179;Large;Large;Vegetarian;Rarely;Weekly;Daily;Supermarket;No;Moderate;Yes;Yes;Spoilage;Canning;Yes;Low;Rarely;Regularly;Storage;Regularly;Reduced Portions;Low;Partial;Fruits;16;1
07/10/2023;280;3;72,857.00;North;Urban;Master;Divorced;2;18-30;Unemployed;178;Large;Large;Non-Vegetarian;Daily;Daily;Daily;Online;No;Low;Yes;No;Spoilage;Refrigeration;No;Moderate;Weekly;Rarely;Storage;Rarely;Meal Planning;Low;Not Successful;Fruits;16;6
08/10/2023;281;1;67,735.00;North;Rural;Bachelor;Single;0;18-30;Employed;219;Small;Large;Non-Vegetarian;Daily;Daily;Daily;Online;No;High;Yes;Yes;Excess Purchases;Canning;No;Low;Rarely;Regularly;Prompt Consumption;Rarely;Smart Shopping;Moderate;Partial;Meat;16;3
09/10/2023;282;1;50,499.00;North;Urban;Bachelor;Single;0;46-60;Student;178;Medium;Small;Non-Vegetarian;Daily;Rarely;Monthly;Supermarket;Yes;Moderate;Yes;Yes;Excess Purchases;Refrigeration;No;Moderate;Weekly;Rarely;Storage;Rarely;Reduced Portions;High;Successful;Meat;16;5
10/10/2023;283;1;51,765.00;North;Urban;Bachelor;Single;0;31-45;Employed;237;Small;Medium;Non-Vegetarian;Daily;Weekly;Monthly;Online;Yes;High;Yes;No;Excess Purchases;Canning;No;Low;Daily;Sometimes;Prompt Consumption;Rarely;Reduced Portions;High;Not Successful;Seafood;16;5
11/10/2023;284;2;42,856.00;South;Rural;Bachelor;Single;1;18-30;Unemployed;156;Large;Medium;Non-Vegetarian;Daily;Daily;Daily;Supermarket;Yes;High;No;Yes;Portion Control;Freezing;No;Low;Rarely;Regularly;Storage;Rarely;Smart Shopping;Low;Partial;Seafood;16;1
12/10/2023;285;3;45,186.00;West;Urban;High School;Single;2;61;Unemployed;119;Small;Large;Non-Vegetarian;Daily;Rarely;Monthly;Local;Yes;High;Yes;No;Excess Purchases;Canning;No;Moderate;Weekly;Sometimes;Storage;Rarely;Meal Planning;High;Not Successful;Meat;16;3
13/10/2023;286;3;35,826.00;South;Rural;PhD;Married;1;61;Student;259;Medium;Large;Vegetarian;Rarely;Weekly;Daily;Local;Yes;Moderate;No;Yes;Excess Purchases;Freezing;No;Low;Daily;Sometimes;Preservation;Regularly;Reduced Portions;Low;Not Successful;Vegetables;16;3
14/10/2023;287;3;70,795.00;North;Rural;High School;Married;1;18-30;Employed;137;Large;Small;Non-Vegetarian;Daily;Daily;Monthly;Supermarket;Yes;Moderate;Yes;Yes;Spoilage;Freezing;Yes;Low;Rarely;Sometimes;Prompt Consumption;Rarely;Reduced Portions;Low;Partial;Fruits;16;4
15/10/2023;288;1;44,788.00;East;Urban;Bachelor;Single;0;46-60;Employed;87;Large;Large;Non-Vegetarian;Daily;Daily;Weekly;Local;Yes;Moderate;No;No;Excess Purchases;Canning;No;High;Daily;Regularly;Storage;Rarely;Smart Shopping;High;Partial;Fruits;16;0
16/10/2023;289;4;63,773.00;West;Rural;PhD;Divorced;3;46-60;Employed;88;Medium;Large;Non-Vegetarian;Daily;Weekly;Daily;Supermarket;Yes;Low;Yes;Yes;Portion Control;Freezing;No;High;Rarely;Sometimes;Preservation;Regularly;Smart Shopping;Moderate;Partial;Fruits;16;2
17/10/2023;290;3;57,701.00;South;Rural;PhD;Married;1;31-45;Employed;202;Medium;Large;Non-Vegetarian;Daily;Daily;Daily;Supermarket;No;Low;Yes;Yes;Portion Control;Canning;Yes;Low;Weekly;Rarely;Preservation;Regularly;Reduced Portions;High;Not Successful;Fruits;16;4
18/10/2023;291;2;63,075.00;North;Urban;PhD;Divorced;1;18-30;Student;263;Small;Medium;Non-Vegetarian;Daily;Rarely;Daily;Online;No;Low;No;Yes;Portion Control;Refrigeration;No;Moderate;Daily;Sometimes;Storage;Occasionally;Meal Planning;Low;Partial;Fruits;16;6
19/10/2023;292;2;60,562.00;West;Urban;Bachelor;Single;1;61;Unemployed;42;Large;Large;Non-Vegetarian;Daily;Weekly;Daily;Local;No;High;No;Yes;Spoilage;Freezing;No;High;Rarely;Rarely;Preservation;Regularly;Reduced Portions;High;Partial;Vegetables;16;2
20/10/2023;293;4;29,192.00;East;Rural;PhD;Divorced;3;31-45;Unemployed;89;Large;Large;Vegetarian;Weekly;Daily;Daily;Online;Yes;High;Yes;No;Portion Control;Refrigeration;Yes;Low;Weekly;Regularly;Preservation;Rarely;Smart Shopping;Moderate;Successful;Fruits;16;6
21/10/2023;294;3;64,775.00;East;Rural;Bachelor;Single;2;18-30;Employed;41;Large;Medium;Non-Vegetarian;Daily;Daily;Monthly;Supermarket;Yes;Low;Yes;No;Spoilage;Freezing;Yes;Moderate;Rarely;Rarely;Preservation;Regularly;Smart Shopping;Low;Not Successful;Seafood;16;3
22/10/2023;295;3;38,346.00;North;Urban;Bachelor;Married;1;46-60;Unemployed;207;Medium;Large;Vegetarian;Rarely;Weekly;Daily;Local;No;High;Yes;Yes;Portion Control;Freezing;No;Low;Daily;Sometimes;Prompt Consumption;Regularly;Reduced Portions;Moderate;Successful;Meat;16;2
23/10/2023;296;4;41,338.00;East;Urban;PhD;Married;2;18-30;Unemployed;143;Small;Small;Non-Vegetarian;Daily;Rarely;Daily;Online;Yes;Low;Yes;Yes;Excess Purchases;Canning;Yes;Low;Daily;Rarely;Preservation;Rarely;Smart Shopping;Moderate;Not Successful;Fruits;16;3
24/10/2023;297;4;31,867.00;North;Rural;PhD;Single;3;61;Unemployed;279;Small;Small;Non-Vegetarian;Daily;Daily;Daily;Supermarket;No;Moderate;No;No;Spoilage;Freezing;No;High;Daily;Rarely;Preservation;Regularly;Meal Planning;High;Partial;Seafood;16;1
25/10/2023;298;1;65,886.00;West;Urban;High School;Divorced;0;46-60;Unemployed;37;Large;Large;Vegetarian;Rarely;Daily;Monthly;Supermarket;Yes;Low;No;No;Portion Control;Canning;No;Low;Daily;Regularly;Storage;Rarely;Reduced Portions;High;Not Successful;Fruits;16;0
26/10/2023;299;3;71,630.00;North;Rural;Master;Married;1;31-45;Unemployed;242;Small;Medium;Non-Vegetarian;Daily;Rarely;Daily;Supermarket;No;Low;No;Yes;Spoilage;Refrigeration;No;Low;Rarely;Rarely;Storage;Regularly;Smart Shopping;Moderate;Not Successful;Seafood;16;4
27/10/2023;300;3;67,082.00;North;Urban;PhD;Divorced;2;31-45;Unemployed;216;Small;Small;Vegetarian;Rarely;Rarely;Monthly;Supermarket;No;High;No;No;Portion Control;Refrigeration;No;Moderate;Daily;Sometimes;Preservation;Rarely;Meal Planning;High;Not Successful;Meat;16;6
28/10/2023;301;2;74,393.00;East;Rural;High School;Single;1;31-45;Student;145;Medium;Large;Non-Vegetarian;Daily;Rarely;Daily;Online;Yes;Low;Yes;Yes;Portion Control;Refrigeration;No;Moderate;Rarely;Sometimes;Storage;Rarely;Meal Planning;Moderate;Partial;Seafood;16;6
29/10/2023;302;3;34,229.00;East;Urban;Master;Married;1;18-30;Student;36;Medium;Large;Vegetarian;Rarely;Weekly;Daily;Online;No;Low;Yes;Yes;Excess Purchases;Freezing;No;Moderate;Daily;Sometimes;Preservation;Regularly;Smart Shopping;Low;Not Successful;Meat;16;6
30/10/2023;303;3;69,054.00;North;Urban;High School;Single;2;31-45;Student;151;Large;Medium;Vegetarian;Rarely;Weekly;Daily;Supermarket;No;Low;No;No;Portion Control;Canning;No;Low;Rarely;Regularly;Storage;Regularly;Smart Shopping;Moderate;Not Successful;Vegetables;16;0
31/10/2023;304;2;61,720.00;West;Urban;High School;Divorced;1;18-30;Unemployed;104;Medium;Large;Vegetarian;Weekly;Weekly;Daily;Supermarket;No;High;No;No;Portion Control;Refrigeration;No;Moderate;Daily;Regularly;Preservation;Regularly;Meal Planning;Low;Not Successful;Vegetables;16;5
01/11/2023;305;4;60,312.00;East;Rural;High School;Married;2;31-45;Student;133;Medium;Medium;Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;Moderate;Yes;Yes;Portion Control;Freezing;Yes;Moderate;Rarely;Rarely;Storage;Occasionally;Meal Planning;Low;Partial;Vegetables;16;4
02/11/2023;306;5;74,617.00;West;Rural;High School;Married;3;61;Unemployed;291;Small;Medium;Vegetarian;Rarely;Daily;Daily;Supermarket;Yes;Low;Yes;No;Excess Purchases;Canning;No;Low;Daily;Regularly;Prompt Consumption;Occasionally;Meal Planning;High;Partial;Meat;16;3
03/11/2023;307;1;42,557.00;West;Rural;Bachelor;Divorced;0;18-30;Employed;97;Small;Small;Non-Vegetarian;Rarely;Daily;Weekly;Supermarket;Yes;High;Yes;No;Spoilage;Freezing;No;Moderate;Daily;Regularly;Prompt Consumption;Occasionally;Smart Shopping;Moderate;Successful;Vegetables;16;2
04/11/2023;308;3;34,833.00;East;Rural;High School;Divorced;2;46-60;Unemployed;178;Small;Medium;Vegetarian;Weekly;Weekly;Daily;Local;Yes;High;Yes;No;Excess Purchases;Canning;No;Low;Daily;Rarely;Prompt Consumption;Rarely;Reduced Portions;Low;Not Successful;Fruits;16;0
05/11/2023;309;1;29,727.00;West;Rural;High School;Single;0;46-60;Unemployed;253;Large;Medium;Non-Vegetarian;Daily;Daily;Daily;Supermarket;No;Moderate;No;Yes;Excess Purchases;Refrigeration;No;High;Daily;Rarely;Storage;Regularly;Meal Planning;High;Successful;Seafood;16;5
06/11/2023;310;3;61,715.00;East;Rural;High School;Divorced;2;18-30;Unemployed;100;Large;Medium;Non-Vegetarian;Weekly;Daily;Daily;Supermarket;Yes;Low;Yes;Yes;Excess Purchases;Freezing;No;Moderate;Rarely;Sometimes;Prompt Consumption;Regularly;Meal Planning;Moderate;Not Successful;Meat;16;1
07/11/2023;311;3;72,274.00;South;Rural;PhD;Married;1;46-60;Employed;30;Small;Large;Vegetarian;Rarely;Weekly;Monthly;Local;No;Low;Yes;Yes;Spoilage;Freezing;No;High;Weekly;Sometimes;Storage;Rarely;Smart Shopping;Moderate;Partial;Vegetables;16;6
08/11/2023;312;3;35,799.00;South;Urban;High School;Divorced;2;61;Student;167;Large;Medium;Vegetarian;Rarely;Weekly;Daily;Supermarket;No;Low;Yes;Yes;Spoilage;Freezing;No;High;Rarely;Sometimes;Prompt Consumption;Rarely;Smart Shopping;Moderate;Partial;Seafood;16;2
09/11/2023;313;2;31,003.00;North;Rural;High School;Married;0;46-60;Employed;34;Medium;Large;Vegetarian;Weekly;Daily;Daily;Supermarket;No;Low;Yes;No;Spoilage;Refrigeration;Yes;Moderate;Daily;Sometimes;Prompt Consumption;Rarely;Smart Shopping;Moderate;Partial;Fruits;16;5
10/11/2023;314;4;34,228.00;North;Urban;PhD;Married;2;46-60;Student;219;Large;Medium;Vegetarian;Rarely;Daily;Daily;Supermarket;No;Low;No;No;Excess Purchases;Canning;No;High;Daily;Regularly;Preservation;Rarely;Reduced Portions;Low;Partial;Meat;16;0
11/11/2023;315;4;44,245.00;South;Rural;Bachelor;Single;3;31-45;Student;294;Large;Small;Non-Vegetarian;Daily;Rarely;Daily;Online;Yes;High;No;Yes;Spoilage;Freezing;No;Moderate;Rarely;Regularly;Prompt Consumption;Occasionally;Smart Shopping;High;Successful;Fruits;16;5
12/11/2023;316;4;40,035.00;East;Rural;Bachelor;Married;2;61;Student;299;Large;Medium;Vegetarian;Weekly;Daily;Daily;Supermarket;No;Low;No;Yes;Portion Control;Refrigeration;No;High;Weekly;Rarely;Preservation;Regularly;Reduced Portions;High;Successful;Vegetables;16;3
13/11/2023;317;3;62,491.00;East;Urban;PhD;Single;2;18-30;Student;153;Large;Large;Non-Vegetarian;Rarely;Rarely;Monthly;Online;Yes;High;Yes;No;Spoilage;Canning;Yes;High;Daily;Sometimes;Storage;Rarely;Meal Planning;Moderate;Successful;Fruits;16;3
14/11/2023;318;1;67,142.00;East;Rural;High School;Single;0;46-60;Unemployed;155;Large;Large;Vegetarian;Weekly;Rarely;Weekly;Local;No;Low;No;No;Portion Control;Canning;No;Low;Weekly;Sometimes;Prompt Consumption;Rarely;Meal Planning;Low;Not Successful;Fruits;16;4
15/11/2023;319;1;56,124.00;East;Urban;PhD;Single;0;61;Student;255;Medium;Medium;Vegetarian;Weekly;Weekly;Monthly;Supermarket;No;High;Yes;No;Portion Control;Freezing;No;High;Weekly;Regularly;Storage;Regularly;Smart Shopping;High;Not Successful;Meat;16;1
16/11/2023;320;2;72,047.00;East;Urban;PhD;Married;0;61;Student;241;Small;Medium;Non-Vegetarian;Rarely;Weekly;Daily;Local;No;High;No;Yes;Excess Purchases;Canning;No;High;Daily;Regularly;Preservation;Rarely;Reduced Portions;Moderate;Partial;Fruits;16;3
17/11/2023;321;3;54,319.00;West;Rural;Master;Married;1;61;Student;34;Medium;Small;Vegetarian;Rarely;Rarely;Daily;Supermarket;No;Low;Yes;No;Portion Control;Canning;No;Moderate;Rarely;Regularly;Prompt Consumption;Occasionally;Reduced Portions;Moderate;Partial;Fruits;16;2
18/11/2023;322;4;62,349.00;East;Urban;PhD;Married;2;18-30;Employed;298;Medium;Small;Non-Vegetarian;Weekly;Rarely;Daily;Online;No;High;No;No;Portion Control;Canning;No;Moderate;Weekly;Regularly;Storage;Rarely;Reduced Portions;Low;Not Successful;Vegetables;16;2
19/11/2023;323;3;49,722.00;South;Urban;Master;Married;1;46-60;Employed;238;Small;Small;Vegetarian;Daily;Daily;Daily;Local;Yes;Moderate;No;No;Excess Purchases;Freezing;No;Low;Rarely;Regularly;Prompt Consumption;Rarely;Reduced Portions;Moderate;Not Successful;Vegetables;16;4
20/11/2023;324;3;43,390.00;East;Rural;Bachelor;Married;1;18-30;Employed;58;Medium;Large;Non-Vegetarian;Daily;Daily;Daily;Supermarket;No;Low;No;No;Excess Purchases;Refrigeration;No;High;Rarely;Rarely;Prompt Consumption;Occasionally;Smart Shopping;High;Not Successful;Seafood;16;4
21/11/2023;325;3;47,176.00;North;Rural;Bachelor;Married;1;31-45;Unemployed;48;Large;Large;Vegetarian;Rarely;Rarely;Monthly;Online;No;High;Yes;Yes;Spoilage;Canning;No;Low;Rarely;Sometimes;Preservation;Rarely;Meal Planning;Moderate;Successful;Meat;16;0
22/11/2023;326;1;61,609.00;East;Urban;High School;Divorced;0;61;Student;228;Small;Small;Vegetarian;Weekly;Daily;Daily;Supermarket;Yes;High;Yes;Yes;Spoilage;Freezing;Yes;Moderate;Daily;Rarely;Preservation;Occasionally;Smart Shopping;Low;Successful;Seafood;16;2
23/11/2023;327;2;41,092.00;West;Rural;High School;Divorced;1;31-45;Student;105;Large;Large;Non-Vegetarian;Rarely;Rarely;Daily;Supermarket;No;Low;Yes;No;Spoilage;Canning;No;Low;Weekly;Regularly;Storage;Rarely;Smart Shopping;High;Successful;Meat;16;6
